,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
68,Alves & Son,13656 N Highway 59,Merced,Merced,95348,,,,,(209) 585-8221,04/01/1950,San Joaquin River Basin,X042-X220-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Fanelli Dairy-Heifers,23839 W Bloss AVE,Hilmar,Merced,95324,,,,,(209) 678-2858,01/01/1960,San Joaquin River Basin,"X045-X190-X058-XXXX, X045-X190-X070-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Soares Dairy Farms, Inc.",14515 S Badger Flat RD,Los Banos,Merced,93635,,,,,(209) 826-3414,12/01/1978,San Joaquin River Basin,X081-X080-X020-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Furtado Farms Inc.,3449 Paradise RD,Modesto,Stanislaus,95358,,,,,(209) 544-8416,01/01/1950,San Joaquin River Basin,"X007-X010-X007-XXXX, X017-X010-X028-XXXX, X017-X010-X029-XXXX",,,150,0,150,150,230,0,230,230,0,0,0,0,0,0,0,0,12,200,212,212,0,50,50,50,Holstein,1.0,642,,3972.39,44281.8,30997.26,5580.85,1.0,0.0,,,,,4471500.0,2106000.0,0.0,2365500.0,,,,,,,,,,
72,Diniz Dairy,9558 Columbus AVE,Hilmar,Merced,95324,,,,,(209) 595-2446,01/01/1950,San Joaquin River Basin,X045-X140-X023-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Ken VanFoeken Dairy #2,9375 N Washington RD,Hilmar,Merced,95324,,,,,(209) 667-2393,01/01/1945,San Joaquin River Basin,"X045-X130-X011-XXXX, X045-X130-X040-XXXX, X045-X130-X053-XXXX, X045-X130-X058-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mendes Facility,8116 County Road 39,Glenn,Glenn,95943,,,,,(530) 409-1163,01/01/2000,Sacramento River Basin,0019-0040-0022-0009,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,100,100,100,Other,1.0,125,,1307.05,14052.5,9836.75,2208.25,15000.0,5748.75,,,,,,0.0,0.0,0.0,,,,,,,,,,
75,Fred Melo Dairy,1319 S Quinley AVE,Merced,Merced,95340,,,,,(209) 388-9677,01/01/1945,San Joaquin River Basin,"X065-X020-X031-XXXX, X065-X070-X045-XXXX, X065-X070-X046-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Veldhuis North Dairy,12465 Lee RD,Ballico,Merced,95303,,,,,(209) 394-5117,06/01/2005,San Joaquin River Basin,"X042-X050-X038-XXXX, X042-X050-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Couco Creek Dairy Inc.,3303 S Washington RD,Turlock,Stanislaus,95380,,,,,(209) 761-9322,06/01/1961,San Joaquin River Basin,"X044-X039-X001-XXXX, X044-X039-X002-XXXX, X044-X040-X041-XXXX",,,0,500,500,500,0,0,0,0,0,3050,3050,3050,0,437,437,437,0,750,750,750,0,1000,1000,1000,Holstein,75.0,5737,,104889.66,1317687.32,922381.12,217914.19,594122.39,1536580.65,,,,,21105000.0,21105000.0,0.0,0.0,,,,,,,,,,
80,Pedretti Ranches Inc.,2331 E Roosevelt RD,El Nido,Merced,95317,,,,,(209) 722-2073,01/01/1942,San Joaquin River Basin,"X075-X300-X027-XXXX, X075-X300-X061-XXXX, X075-X300-X062-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,D5 Farms,5831 S Tegner RD,Turlock,Stanislaus,95380,,,,,(209) 652-2896,01/01/1960,San Joaquin River Basin,X057-X018-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Charles Ahlem Ranch,23546 W American AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,10/01/1982,San Joaquin River Basin,X045-X018-X037-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,F & M Areias Dairy,1030 Albers RD,Modesto,Stanislaus,95357,,,,,(209) 652-4796,01/01/1960,San Joaquin River Basin,X014-X046-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nunes Heifers,2618 E Reilly RD,Merced,Merced,95340,,,,,(209) 658-6162,01/01/1955,San Joaquin River Basin,X066-X250-X017-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,260,260,160,160,320,320,Holstein,1.0,580,,5619.59,55042.0,38529.4,9314.8,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
85,P&D Dairy North,28366 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1945,San Joaquin River Basin,X070-X030-X020-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,378,378,378,400,0,500,450,400,0,500,450,Holstein,1.0,1278,,5226.78,47450.0,33215.0,8030.0,1.0,86921.1,,,,,27800640.0,27800640.0,0.0,0.0,,,,,,,,,,
86,Manuel & Maria Silva Dairy,15420 E Highway 4,Stockton,San Joaquin,95215,,,,,(209) 948-4561,01/15/1945,San Joaquin River Basin,X183-X150-XX01-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,400,400,0,300,300,300,Jersey-Holstein Cross,1.0,700,,7251.79,66430.0,46501.0,11242.0,1.0,0.0,,,,,13200000.0,13200000.0,0.0,0.0,,,,,,,,,,
87,Vieira Livestock,3800 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 531-4156,08/15/1968,San Joaquin River Basin,X058-X028-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Luis Luis Heifers,5672 S Whitworth RD,Gustine,Merced,95322,,,,,(209) 678-1472,01/01/1960,San Joaquin River Basin,"X063-X240-X006-XXXX, X063-X240-X007-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Machado Dairy,7413 S Mitchell RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,01/01/1970,San Joaquin River Basin,"0057-0007-0005-0000, 0057-0007-0006-0000, 0057-0023-0004-0000",,,0,0,0,0,0,50,50,50,0,1300,1300,1300,0,50,50,50,0,40,40,40,0,0,0,0,Holstein,80.0,1440,,36160.75,471418.11,329992.68,79506.64,257502.99,623602.5,,,,,37890000.0,17250000.0,0.0,20640000.0,,,,,,,,,,
90,Joe Vitoria Dairy,13340 Sargent AVE,Galt,Sacramento,95632,,,,,(209) 744-9532,04/01/2004,Sacramento River Basin,X148-0112-X013-XXXX,,,50,0,50,50,50,0,50,50,0,260,260,260,0,30,30,30,0,80,80,80,70,0,70,70,Holstein,55.0,540,,6369.34,79525.82,55668.07,12866.19,35422.57,129319.5,,,,,5670000.0,5670000.0,0.0,0.0,,,,,,,,,,
91,B & J Dairy,9950 Arno RD,Galt,Sacramento,95632,,,,,(209) 745-2520,01/01/1958,Sacramento River Basin,X148-X020-X035-XXXX,,,0,130,130,130,0,100,100,100,0,630,630,630,0,45,45,45,0,300,300,300,500,0,500,500,Holstein,63.0,1705,,25046.94,300407.99,210285.59,49288.93,117753.44,306983.25,,,,,16128000.0,16128000.0,0.0,0.0,,,,,,,,,,
92,Trinkler Heifer,12337 Clausen RD,Crows Landing,Stanislaus,95313,P.O. Box 10,Ceres,CA,95307,(209) 537-9883,01/01/1950,San Joaquin River Basin,X058-X024-X002-XXXX,,,385,0,950,385,0,0,0,0,0,0,0,0,0,0,0,0,750,0,1450,750,825,0,1450,825,Holstein,1.0,1960,,16222.54,169141.0,118398.7,26685.7,1.0,0.0,,,,,44114400.0,44114400.0,0.0,0.0,,,,,,,,,,
93,,1015 West 5th Ave,Orland,Tehama,95963,,,,,(530) 865-8017,06/01/1993,Sacramento River Basin,"0091-0160-0091-0001, 0091-0170-0013-0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MTSJ Dairy LP,6916 County Road 30,Orland,Glenn,95963,,,,,(530) 519-0965,07/10/1998,Sacramento River Basin,0024-0050-0010-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Hilmar Holsteins, Inc.",21859 Crane AVE,Hilmar,Merced,95324,,,,,(209) 634-7532,09/01/1959,San Joaquin River Basin,"X045-X230-X019-XXXX, X045-X230-X058-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ORNELLAS,20634 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1940,San Joaquin River Basin,X212-X030-XX08-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Broder Farms,22245 August AVE,Hillmar,Merced,95324,P.O. Box 880,Hilmar,CA,95324,(209) 667-7050,01/01/1949,San Joaquin River Basin,X045-X180-X021-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,0.0,11247000.0,11247000.0,0.0,,,,,,,,,,
98,M. & M. Moules Dairy,12951 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 333-1976,03/01/1993,San Joaquin River Basin,X063-X250-XX10-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,Jersey-Holstein Cross,1.0,9,,86.69,854.1,597.87,144.54,1.0,0.0,,,,,1264800.0,1264800.0,0.0,0.0,,,,,,,,,,
99,DS Farms LP,24567 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,01/01/1945,San Joaquin River Basin,"X207-X350-X100-XXXX, X229-X060-X010-XXXX",,,0,0,0,0,0,0,0,0,0,834,834,834,0,0,0,0,0,50,50,50,0,0,0,0,Holstein,75.0,884,,22408.41,290850.7,203595.49,49332.26,162458.39,392688.9,,,,,18840000.0,18840000.0,0.0,0.0,,,,,,,,,,
100,Eddie Silveira Family Dairy,12081 S Cherokee RD,Gustine,Merced,95322,,,,,(123) 000-0000,01/01/1910,San Joaquin River Basin,X070-X090-X033-XXXX,,,250,0,250,250,0,0,0,0,0,2200,2200,2200,0,300,300,300,650,0,650,650,650,0,650,650,Holstein,83.0,4050,,77689.11,972616.78,680831.75,161988.96,440110.5,1104855.0,,,,,72072000.0,72072000.0,0.0,0.0,,,,,,,,,,
101,Silva Brothers Dairy,12997 E Peltier RD,Acampo,San Joaquin,95220,,,,,(209) 321-1318,01/01/1900,San Joaquin River Basin,"X007-X280-XX11-XXXX, X007-X280-XX41-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,A& M de Sousa Dairy,3030 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 632-5845,01/01/1920,San Joaquin River Basin,"0058-0017-0005-0000, 0058-0017-0006-0000",,,280,0,280,280,25,0,25,25,0,1200,1200,1200,290,0,290,290,210,0,210,210,430,0,430,430,Jersey-Holstein Cross,80.0,2435,,43759.88,550116.14,385081.3,89885.76,237695.07,631705.5,,,,,94801489.0,94801489.0,0.0,0.0,,,,,,,,,,
103,Vierra Dairy Farms,23160 W Williams AVE,Hilmar,Merced,95324,,,,,(209) 668-0343,10/01/1967,San Joaquin River Basin,"X045-X190-X015-XXXX, X045-X190-X017-XXXX, X045-X190-X052-XXXX, X045-X190-X063-XXXX, X045-X190-X077-XXXX",,,403,0,403,403,0,353,353,353,0,3000,3000,3000,0,200,200,200,211,0,211,211,834,0,834,834,Jersey-Holstein Cross,70.0,5001,,91849.76,1180442.4,826309.68,194666.01,574527.68,1458540.0,,,,,50475000.0,50475000.0,0.0,0.0,,,,,,,,,,
104,Soares Dairy Farms Inc. - Mercy Springs,21750 S Mercey Springs RD,Los Banos,Merced,93635,,,,,(209) 826-3626,04/01/1940,San Joaquin River Basin,X088-X103-X009-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Soares Dairy LP,9201 Hilmar RD,Turlock,Stanislaus,95380,,,,,(209) 613-5977,11/01/1992,San Joaquin River Basin,X057-X008-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jose Mendonca,27435 Gun Club RD,Gustine,Merced,95322,,,,,(209) 678-5500,04/01/1996,San Joaquin River Basin,"X063-X200-X024-XXXX, X063-X200-X025-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Matos Dairy Farms - Franklin Facility,1912 Franklin Rd,Merced,Merced,95340,,,,,(209) 285-0001,09/17/1984,San Joaquin River Basin,"X057-X039-X034-XXXX, X215-X080-X010-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,A&C MACHADO DAIRY #2,619 S. Vincent Road,Turlock,Stanislaus,95380,,,,,(209) 632-7225,06/01/1955,San Joaquin River Basin,"0024-0009-0016-0000, 0024-0009-0027-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Godinho Dairy,12710 S Wilson RD,Los Banos,Merced,93635,,,,,(209) 826-2517,01/09/1990,San Joaquin River Basin,"X070-X180-X028-XXXX, X070-X180-X044-XXXX, X070-X180-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Rosa Dairy Farms,3105 N Trindade AVE,Atwater,Merced,95301,,,,,(209) 564-2242,01/01/1950,San Joaquin River Basin,"X005-X150-X002-XXXX, X005-X210-X002-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Lockwood III Dairy,15343 Tim Bell RD,Waterford,Stanislaus,95386,P.O. Box 235,Waterford,CA,95386,(209) 874-9855,03/15/1974,San Joaquin River Basin,0015-0015-0085-0000,,,50,0,50,50,0,0,0,0,0,485,485,485,65,0,65,65,175,0,175,175,195,0,195,195,Holstein,80.0,970,,17997.96,219631.98,153742.39,36594.38,96068.42,243309.0,,,,,3809150.0,2559150.0,0.0,1250000.0,,,,,,,,,,
112,Vitorino Dairy (Caetano Dairy Facility),9436 Griffith AVE,Delhi,Merced,95315,,,,,(209) 632-4162,01/01/1962,San Joaquin River Basin,X046-X120-X001-XXXX,,,0,210,210,210,0,0,0,0,0,640,640,640,0,55,55,55,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,72.0,905,,18066.73,237375.87,166163.11,38782.74,123406.87,313991.25,,,,,6138500.0,23531750.0,17393250.0,0.0,,,,,,,,,,
113,Double D Dairy #2,3636 E Monte Vista AVE,Ceres,Stanislaus,95307,,,,,(209) 637-4133,12/28/1976,San Joaquin River Basin,X022-X017-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Rocking S Dairy #2,2330 Ladd RD,Modesto,Stanislaus,95356,,,,,(123) 000-0000,01/01/1983,San Joaquin River Basin,X003-X022-X018-XXXX,,,435,0,450,435,610,0,610,610,0,1550,1600,1550,0,320,380,320,135,0,150,135,0,0,0,0,Holstein,80.0,3050,,51386.58,668234.28,467764.0,106031.9,307022.8,803401.5,,,,,50159000.0,50159000.0,0.0,0.0,,,,,,,,,,
115,Vaz Dairy,21876 Sunset RD,Los Banos,Merced,93635,,,,,(209) 826-0109,01/01/1920,San Joaquin River Basin,"X081-X150-X031-XXXX, X083-X180-X013-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Frank Chaves and Sons #2,12021 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 368-1740,01/05/1940,San Joaquin River Basin,X063-X250-XX16-XXXX,,,50,0,50,50,0,0,0,0,0,217,217,217,0,0,0,0,20,0,20,20,0,0,0,0,Holstein,51.0,287,,5461.99,70903.9,49632.73,11659.38,38848.69,102174.45,,,,,6120000.0,6120000.0,0.0,0.0,,,,,,,,,,
117,Oslo Dairy,20334 W Oslo RD,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 656-8434,03/01/1971,San Joaquin River Basin,0045-0140-0028-0000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,0.0,6637500.0,6637500.0,0.0,,,,,,,,,,
118,Willem Postma Dairy #1,3700 Claus RD,Modesto,Stanislaus,95357,,,,,(209) 551-2930,01/01/1962,San Joaquin River Basin,X014-X013-X003-XXXX,,,420,0,420,420,140,0,140,140,0,990,990,990,0,160,160,160,750,0,750,750,950,0,950,950,Holstein,74.0,3410,,46915.28,557248.76,390074.13,90507.31,192195.85,502933.5,,,,,21254500.0,20991700.0,0.0,262800.0,,,,,,,,,,
119,Vierra Dairy Farms #4,7965 Washington RD,Hilmar,Merced,95324,P.O. Box 666,Hilmar,CA,95324,(209) 668-0343,01/01/1880,San Joaquin River Basin,XX45-X190-XX67-XXXX,,,0,0,0,0,0,0,0,0,0,768,768,768,0,19,19,19,105,0,105,105,0,0,0,0,Holstein,72.0,892,,21295.25,273360.85,191352.6,46182.76,148088.24,365981.85,,,,,5508000.0,5508000.0,0.0,0.0,,,,,,,,,,
120,CMA #2,23970 W August AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,01/01/1956,San Joaquin River Basin,X045-X005-X130-X057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Wyeth Dairy, Inc.",7319 Beckwith RD,Modesto,Stanislaus,95358,,,,,(209) 545-0891,01/01/1960,San Joaquin River Basin,"0012-0018-0006-0000, 0012-0018-0015-0000",,,0,0,0,0,0,0,0,0,0,570,570,570,0,85,85,85,0,160,160,160,0,160,160,160,Holstein,89.0,975,,20487.17,253665.36,177565.75,42605.85,116275.57,287930.25,,,,,21930000.0,21930000.0,0.0,0.0,,,,,,,,,,
122,Germano Soares dba Sandy Mush Crosses,5241 W Sandy Mush RD,Merced,Merced,95340,,,,,(209) 000-0000,07/01/1963,San Joaquin River Basin,X074-X080-X025-XXXX,,,70,0,70,70,100,0,100,100,0,750,750,750,85,0,85,85,70,0,70,70,80,0,80,80,Jersey,60.0,1155,,21441.83,278461.12,194922.78,45538.23,138704.42,372683.25,,,,,6660000.0,6660000.0,0.0,0.0,,,,,,,,,,
123,Double B Dairy #2,3645 W Bradshaw RD,Atwater,Merced,95301,,,,,(209) 564-8218,01/01/1920,San Joaquin River Basin,"X005-X090-X015-XXXX, X005-X090-X023-XXXX",,,0,146,146,146,0,125,125,125,0,765,765,765,0,90,90,90,0,382,382,382,0,278,278,278,Other,78.0,1786,,29027.31,358863.77,251204.64,58908.73,150525.4,380895.75,,,,,10632000.0,10632000.0,0.0,0.0,,,,,,,,,,
124,Den-K Holsteins,13235 Baker RD,Los Banos,Merced,93635,,,,,(209) 826-6242,01/01/1981,San Joaquin River Basin,X073-X200-X004-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Vitorino & Sons Dairy,3918 S Kilroy RD,Turlock,Stanislaus,95380,,,,,(209) 535-6259,01/01/1950,San Joaquin River Basin,0044-0044-0011-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Cottonwood Dairy,10561 W 140 HWY,Atwater,Merced,95301,P.O. Box 775,Atwater,CA,95301,(209) 394-7984,06/01/1980,San Joaquin River Basin,"XX56-XX16-XX12-XXXX, XX56-XX16-XX13-XXXX, XX56-XX17-XX11-XXXX, XX56-XX18-XXX7-XXXX, XX56-XX18-XXX8-XXXX, XX56-XX19-XX12-XXXX, XX56-XX19-XX13-XXXX, XX65-XXX1-XXX3-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Double D Taylor (former Germano Soares Dairy #2),2506 E Taylor RD,Ceres,Stanislaus,95307,,,,,(209) 542-0281,06/01/2000,San Joaquin River Basin,X022-X013-X010-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,2250000.0,2250000.0,0.0,0.0,,,,,,,,,,
128,Vierra Dairy Farms #3,7884 Faith Home RD,Hilmar,Merced,95324,P.O. Box 1350,Hilmar,CA,95324,(209) 668-0343,01/01/1940,San Joaquin River Basin,X045-X190-X001-XXXX,,,355,0,355,355,0,0,0,0,0,281,281,281,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,72.0,636,,8505.39,113244.67,79271.27,17395.93,54183.33,132308.85,,,,,7536000.0,7536000.0,0.0,0.0,,,,,,,,,,
129,"Gold Medal Ag, LLC #2",20326 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1210,Hilmar,CA,95324,(209) 652-4066,01/01/1970,San Joaquin River Basin,0045-0100-0060-0000,,,0,0,0,0,0,0,0,0,0,400,400,400,50,0,50,50,0,0,0,0,0,0,0,0,Jersey,60.0,450,,10428.48,137139.2,95997.44,22787.05,73975.69,199837.5,,,,,4382500.0,3157000.0,0.0,1225500.0,,,,,,,,,,
130,Alves Farms,2439 County Road V,Glenn,Glenn,95943,,,,,(530) 934-4182,06/01/1983,Sacramento River Basin,0019-0160-0030-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Manuel & Maria Silva Dairy #2,2800 White RD,Turlock,Stanislaus,95380,,,,,(209) 564-7297,01/01/1970,San Joaquin River Basin,"X045-X100-X006-XXXX, X057-X019-X004-XXXX",,,110,0,110,110,100,0,100,100,0,920,920,920,0,155,155,155,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,59.0,1285,,25366.13,332039.46,232427.62,53873.08,169539.65,468824.25,,,,,11385000.0,11385000.0,0.0,0.0,,,,,,,,,,
132,Luis Jorge,21625 Geer AVE,Hilmar,Stanislaus,95324,,,,,(209) 345-4792,08/01/1970,San Joaquin River Basin,X045-X200-X018-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Ehrlich Dairy/Azevedo Farms,5725 Ehrlich RD,Turlock,Stanislaus,95380,P.O. Box 2717,Merced,CA,95344,(209) 681-8255,01/01/1945,San Joaquin River Basin,"X057-X015-X004-XXXX, X057-X015-X021-XXXX, X057-X016-X010-XXXX, X057-X022-X004-XXXX, X057-X022-X013-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"G. Simoes Dairy, Inc.",11758 Carroll RD,Elk Grove,Sacramento,95757,,,,,(916) 826-2495,01/01/1976,Sacramento River Basin,X132-X240-X051-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,350,600,0,600,600,Holstein,1.0,950,,9438.13,90155.0,63108.5,15257.0,1.0,0.0,,,,,720000.0,720000.0,0.0,0.0,,,,,,,,,,
135,P&D West Dairy,29631 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1930,San Joaquin River Basin,X070-X060-X043-XXXX,,,0,0,0,0,0,0,0,0,0,475,475,475,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,68.0,475,,11876.32,151539.47,106077.63,25295.92,76078.09,223653.75,,,,,36360000.0,36360000.0,0.0,0.0,,,,,,,,,,
136,,,,,95987,P.O. Box 760,Williams,Colusa,95987,,,,014-300-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Bar Vee Dairy, Inc.",3031 N Washington RD,Turlock,Stanislaus,95380,,,,,(209) 632-4308,01/01/1973,San Joaquin River Basin,"0023-0056-0005-0000, 0023-0056-0006-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Manuel Martins Dairy L.P.,10043 Milnes,Modesto,Stanislaus,95307,,,,,(209) 529-8133,09/09/1978,San Joaquin River Basin,X015-X001-X020-XXXX,,,0,135,135,135,0,85,85,85,0,820,820,820,0,100,100,100,25,0,25,25,0,0,0,0,Holstein,68.0,1165,,23325.82,304359.67,213051.77,49700.58,155960.09,409092.0,,,,,12234000.0,10764000.0,0.0,1470000.0,,,,,,,,,,
139,Barcellos Dairy,2892 N Gurr RD,Atwater,Merced,95301,,,,,(209) 000-0000,01/01/1950,San Joaquin River Basin,X005-X210-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Fanelli Dairy,7689 Washington RD,Hillmar,Merced,95324,,,,,(209) 668-8097,01/01/1971,San Joaquin River Basin,X045-X190-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
