,index,Unnamed: 0,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,address,latitude,longitude
86,86,86,Manuel & Maria Silva Dairy,15420 E Highway 4,Stockton,San Joaquin,95215,,,,,(209) 948-4561,01/15/1945,San Joaquin River Basin,X183-X150-XX01-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,400.0,0.0,300.0,300.0,300.0,Jersey-Holstein Cross,1.0,700.0,7251.79,66430.0,46501.0,11242.0,1.0,0.0,13200000.0,13200000.0,0.0,0.0,"15420 E Highway 4, Stockton, CA 95215",37.93507,-121.12555
89,89,89,Machado Dairy,7413 S Mitchell RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,01/01/1970,San Joaquin River Basin,"0057-0007-0005-0000, 0057-0007-0006-0000, 0057-0023-0004-0000",0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,1300.0,1300.0,1300.0,0.0,50.0,50.0,50.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,Holstein,80.0,1440.0,36160.75,471418.11,329992.68,79506.64,257502.99,623602.5,37890000.0,17250000.0,0.0,20640000.0,"7413 S Mitchell RD, Turlock, CA 95380",37.42495,-120.94389
90,90,90,Joe Vitoria Dairy,13340 Sargent AVE,Galt,Sacramento,95632,,,,,(209) 744-9532,04/01/2004,Sacramento River Basin,X148-0112-X013-XXXX,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,260.0,260.0,260.0,0.0,30.0,30.0,30.0,0.0,80.0,80.0,80.0,70.0,0.0,70.0,70.0,Holstein,55.0,540.0,6369.34,79525.82,55668.07,12866.19,35422.57,129319.5,5670000.0,5670000.0,0.0,0.0,"13340 Sargent AVE, Galt, CA 95632",38.27067,-121.32969
91,91,91,B & J Dairy,9950 Arno RD,Galt,Sacramento,95632,,,,,(209) 745-2520,01/01/1958,Sacramento River Basin,X148-X020-X035-XXXX,0.0,130.0,130.0,130.0,0.0,100.0,100.0,100.0,0.0,630.0,630.0,630.0,0.0,45.0,45.0,45.0,0.0,300.0,300.0,300.0,500.0,0.0,500.0,500.0,Holstein,63.0,1705.0,25046.94,300407.99,210285.59,49288.93,117753.44,306983.25,16128000.0,16128000.0,0.0,0.0,"9950 Arno RD, Galt, CA 95632",38.32441,-121.32512
92,92,92,Trinkler Heifer,12337 Clausen RD,Crows Landing,Stanislaus,95313,P.O. Box 10,Ceres,CA,95307,(209) 537-9883,01/01/1950,San Joaquin River Basin,X058-X024-X002-XXXX,385.0,0.0,950.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,1450.0,750.0,825.0,0.0,1450.0,825.0,Holstein,1.0,1960.0,16222.54,169141.0,118398.7,26685.7,1.0,0.0,44114400.0,44114400.0,0.0,0.0,"12337 Clausen RD, Crows Landing, CA 95313",37.45956,-120.99065
97,97,97,Broder Farms,22245 August AVE,Hillmar,Merced,95324,P.O. Box 880,Hilmar,CA,95324,(209) 667-7050,01/01/1949,San Joaquin River Basin,X045-X180-X021-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,0.0,11247000.0,11247000.0,0.0,"22245 August AVE, Hillmar, CA 95324",37.4189,-120.89085
98,98,98,M. & M. Moules Dairy,12951 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 333-1976,03/01/1993,San Joaquin River Basin,X063-X250-XX10-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,Jersey-Holstein Cross,1.0,9.0,86.69,854.1,597.87,144.54,1.0,0.0,1264800.0,1264800.0,0.0,0.0,"12951 E Harney LN, Lodi, CA 95240",38.10294,-121.15642
99,99,99,DS Farms LP,24567 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,01/01/1945,San Joaquin River Basin,"X207-X350-X100-XXXX, X229-X060-X010-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,834.0,834.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,Holstein,75.0,884.0,22408.41,290850.7,203595.49,49332.26,162458.39,392688.9,18840000.0,18840000.0,0.0,0.0,"24567 E Lone Tree RD, Escalon, CA 95320",37.82778,-121.00805
100,100,100,Eddie Silveira Family Dairy,12081 S Cherokee RD,Gustine,Merced,95322,,,,,(123) 000-0000,01/01/1910,San Joaquin River Basin,X070-X090-X033-XXXX,250.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,2200.0,2200.0,2200.0,0.0,300.0,300.0,300.0,650.0,0.0,650.0,650.0,650.0,0.0,650.0,650.0,Holstein,83.0,4050.0,77689.11,972616.78,680831.75,161988.96,440110.5,1104855.0,72072000.0,72072000.0,0.0,0.0,"12081 S Cherokee RD, Gustine, CA 95322",37.12157,-120.97736
102,102,102,A& M de Sousa Dairy,3030 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 632-5845,01/01/1920,San Joaquin River Basin,"0058-0017-0005-0000, 0058-0017-0006-0000",280.0,0.0,280.0,280.0,25.0,0.0,25.0,25.0,0.0,1200.0,1200.0,1200.0,290.0,0.0,290.0,290.0,210.0,0.0,210.0,210.0,430.0,0.0,430.0,430.0,Jersey-Holstein Cross,80.0,2435.0,43759.88,550116.14,385081.3,89885.76,237695.07,631705.5,94801489.0,94801489.0,0.0,0.0,"3030 S Central AVE, Turlock, CA 95380",37.46523,-120.95795
103,103,103,Vierra Dairy Farms,23160 W Williams AVE,Hilmar,Merced,95324,,,,,(209) 668-0343,10/01/1967,San Joaquin River Basin,"X045-X190-X015-XXXX, X045-X190-X017-XXXX, X045-X190-X052-XXXX, X045-X190-X063-XXXX, X045-X190-X077-XXXX",403.0,0.0,403.0,403.0,0.0,353.0,353.0,353.0,0.0,3000.0,3000.0,3000.0,0.0,200.0,200.0,200.0,211.0,0.0,211.0,211.0,834.0,0.0,834.0,834.0,Jersey-Holstein Cross,70.0,5001.0,91849.76,1180442.4,826309.68,194666.01,574527.68,1458540.0,50475000.0,50475000.0,0.0,0.0,"23160 W Williams AVE, Hilmar, CA 95324",37.39102,-120.90597
111,111,111,Lockwood III Dairy,15343 Tim Bell RD,Waterford,Stanislaus,95386,P.O. Box 235,Waterford,CA,95386,(209) 874-9855,03/15/1974,San Joaquin River Basin,0015-0015-0085-0000,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,485.0,485.0,485.0,65.0,0.0,65.0,65.0,175.0,0.0,175.0,175.0,195.0,0.0,195.0,195.0,Holstein,80.0,970.0,17997.96,219631.98,153742.39,36594.38,96068.42,243309.0,3809150.0,2559150.0,0.0,1250000.0,"15343 Tim Bell RD, Waterford, CA 95386",37.67387,-120.70754
112,112,112,Vitorino Dairy (Caetano Dairy Facility),9436 Griffith AVE,Delhi,Merced,95315,,,,,(209) 632-4162,01/01/1962,San Joaquin River Basin,X046-X120-X001-XXXX,0.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,640.0,640.0,640.0,0.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey-Holstein Cross,72.0,905.0,18066.73,237375.87,166163.11,38782.74,123406.87,313991.25,6138500.0,23531750.0,17393250.0,0.0,"9436 Griffith AVE, Delhi, CA 95315",37.42534,-120.81286
114,114,114,Rocking S Dairy #2,2330 Ladd RD,Modesto,Stanislaus,95356,,,,,(123) 000-0000,01/01/1983,San Joaquin River Basin,X003-X022-X018-XXXX,435.0,0.0,450.0,435.0,610.0,0.0,610.0,610.0,0.0,1550.0,1600.0,1550.0,0.0,320.0,380.0,320.0,135.0,0.0,150.0,135.0,0.0,0.0,0.0,0.0,Holstein,80.0,3050.0,51386.58,668234.28,467764.0,106031.9,307022.8,803401.5,50159000.0,50159000.0,0.0,0.0,"2330 Ladd RD, Modesto, CA 95356",37.73046,-121.03839
116,116,116,Frank Chaves and Sons #2,12021 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 368-1740,01/05/1940,San Joaquin River Basin,X063-X250-XX16-XXXX,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,Holstein,51.0,287.0,5461.99,70903.9,49632.73,11659.38,38848.69,102174.45,6120000.0,6120000.0,0.0,0.0,"12021 E Harney LN, Lodi, CA 95240",38.10554,-121.16752
117,117,117,Oslo Dairy,20334 W Oslo RD,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 656-8434,03/01/1971,San Joaquin River Basin,0045-0140-0028-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,0.0,6637500.0,6637500.0,0.0,"20334 W Oslo RD, Hilmar, CA 95324",37.42805,-120.8567
118,118,118,Willem Postma Dairy #1,3700 Claus RD,Modesto,Stanislaus,95357,,,,,(209) 551-2930,01/01/1962,San Joaquin River Basin,X014-X013-X003-XXXX,420.0,0.0,420.0,420.0,140.0,0.0,140.0,140.0,0.0,990.0,990.0,990.0,0.0,160.0,160.0,160.0,750.0,0.0,750.0,750.0,950.0,0.0,950.0,950.0,Holstein,74.0,3410.0,46915.28,557248.76,390074.13,90507.31,192195.85,502933.5,21254500.0,20991700.0,0.0,262800.0,"3700 Claus RD, Modesto, CA 95357",37.69264,-120.91222
119,119,119,Vierra Dairy Farms #4,7965 Washington RD,Hilmar,Merced,95324,P.O. Box 666,Hilmar,CA,95324,(209) 668-0343,01/01/1880,San Joaquin River Basin,XX45-X190-XX67-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,768.0,768.0,0.0,19.0,19.0,19.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,Holstein,72.0,892.0,21295.25,273360.85,191352.6,46182.76,148088.24,365981.85,5508000.0,5508000.0,0.0,0.0,"7965 Washington RD, Hilmar, CA 95324",37.40408,-120.90567
121,121,121,"Wyeth Dairy, Inc.",7319 Beckwith RD,Modesto,Stanislaus,95358,,,,,(209) 545-0891,01/01/1960,San Joaquin River Basin,"0012-0018-0006-0000, 0012-0018-0015-0000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,570.0,570.0,0.0,85.0,85.0,85.0,0.0,160.0,160.0,160.0,0.0,160.0,160.0,160.0,Holstein,89.0,975.0,20487.17,253665.36,177565.75,42605.85,116275.57,287930.25,21930000.0,21930000.0,0.0,0.0,"7319 Beckwith RD, Modesto, CA 95358",37.68148,-121.12863
122,122,122,Germano Soares dba Sandy Mush Crosses,5241 W Sandy Mush RD,Merced,Merced,95340,,,,,(209) 000-0000,07/01/1963,San Joaquin River Basin,X074-X080-X025-XXXX,70.0,0.0,70.0,70.0,100.0,0.0,100.0,100.0,0.0,750.0,750.0,750.0,85.0,0.0,85.0,85.0,70.0,0.0,70.0,70.0,80.0,0.0,80.0,80.0,Jersey,60.0,1155.0,21441.83,278461.12,194922.78,45538.23,138704.42,372683.25,6660000.0,6660000.0,0.0,0.0,"5241 W Sandy Mush RD, Merced, CA 95340",37.18556,-120.58605
123,123,123,Double B Dairy #2,3645 W Bradshaw RD,Atwater,Merced,95301,,,,,(209) 564-8218,01/01/1920,San Joaquin River Basin,"X005-X090-X015-XXXX, X005-X090-X023-XXXX",0.0,146.0,146.0,146.0,0.0,125.0,125.0,125.0,0.0,765.0,765.0,765.0,0.0,90.0,90.0,90.0,0.0,382.0,382.0,382.0,0.0,278.0,278.0,278.0,Other,78.0,1786.0,29027.31,358863.77,251204.64,58908.73,150525.4,380895.75,10632000.0,10632000.0,0.0,0.0,"3645 W Bradshaw RD, Atwater, CA 95301",37.35669,-120.55218
127,127,127,Double D Taylor (former Germano Soares Dairy #2),2506 E Taylor RD,Ceres,Stanislaus,95307,,,,,(209) 542-0281,06/01/2000,San Joaquin River Basin,X022-X013-X010-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,2250000.0,2250000.0,0.0,0.0,"2506 E Taylor RD, Ceres, CA 95307",37.53281,-120.95073
128,128,128,Vierra Dairy Farms #3,7884 Faith Home RD,Hilmar,Merced,95324,P.O. Box 1350,Hilmar,CA,95324,(209) 668-0343,01/01/1940,San Joaquin River Basin,X045-X190-X001-XXXX,355.0,0.0,355.0,355.0,0.0,0.0,0.0,0.0,0.0,281.0,281.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,72.0,636.0,8505.39,113244.67,79271.27,17395.93,54183.33,132308.85,7536000.0,7536000.0,0.0,0.0,"7884 Faith Home RD, Hilmar, CA 95324",37.40308,-120.9225
129,129,129,"Gold Medal Ag, LLC #2",20326 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1210,Hilmar,CA,95324,(209) 652-4066,01/01/1970,San Joaquin River Basin,0045-0100-0060-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,60.0,450.0,10428.48,137139.2,95997.44,22787.05,73975.69,199837.5,4382500.0,3157000.0,0.0,1225500.0,"20326 Johnson AVE, Hilmar, CA 95324",37.43341,-120.853
131,131,131,Manuel & Maria Silva Dairy #2,2800 White RD,Turlock,Stanislaus,95380,,,,,(209) 564-7297,01/01/1970,San Joaquin River Basin,"X045-X100-X006-XXXX, X057-X019-X004-XXXX",110.0,0.0,110.0,110.0,100.0,0.0,100.0,100.0,0.0,920.0,920.0,920.0,0.0,155.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey-Holstein Cross,59.0,1285.0,25366.13,332039.46,232427.62,53873.08,169539.65,468824.25,11385000.0,11385000.0,0.0,0.0,"2800 White RD, Turlock, CA 95380",37.44122,-120.87998
134,134,134,"G. Simoes Dairy, Inc.",11758 Carroll RD,Elk Grove,Sacramento,95757,,,,,(916) 826-2495,01/01/1976,Sacramento River Basin,X132-X240-X051-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,350.0,350.0,600.0,0.0,600.0,600.0,Holstein,1.0,950.0,9438.13,90155.0,63108.5,15257.0,1.0,0.0,720000.0,720000.0,0.0,0.0,"11758 Carroll RD, Elk Grove, CA 95757",38.32865,-121.39938
135,135,135,P&D West Dairy,29631 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1930,San Joaquin River Basin,X070-X060-X043-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,68.0,475.0,11876.32,151539.47,106077.63,25295.92,76078.09,223653.75,36360000.0,36360000.0,0.0,0.0,"29631 Husman RD, Gustine, CA 95322",37.156,-121.0252
138,138,138,Manuel Martins Dairy L.P.,10043 Milnes,Modesto,Stanislaus,95307,,,,,(209) 529-8133,09/09/1978,San Joaquin River Basin,X015-X001-X020-XXXX,0.0,135.0,135.0,135.0,0.0,85.0,85.0,85.0,0.0,820.0,820.0,820.0,0.0,100.0,100.0,100.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,Holstein,68.0,1165.0,23325.82,304359.67,213051.77,49700.58,155960.09,409092.0,12234000.0,10764000.0,0.0,1470000.0,"10043 Milnes, Modesto, CA 95307",37.68258,-120.81041
141,141,141,N & C Silveira Dairy,6025 Hultberg RD,Turlock,Stanislaus,95380,,,,,(209) 668-2728,01/01/1970,San Joaquin River Basin,X057-X170-X006-XXXX,0.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,832.0,832.0,832.0,0.0,29.0,29.0,29.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,Jersey,60.0,911.0,21043.3,274993.04,192495.13,46019.93,153869.44,398415.75,8502890.0,6450000.0,0.0,2052890.0,"6025 Hultberg RD, Turlock, CA 95380",37.43532,-120.89702
143,143,143,6D Dores Dairy,25762 Turner AVE,Hilmar,Merced,95324,P.O. Box 56,Stevinson,CA,95374,(209) 632-6402,01/01/1925,San Joaquin River Basin,X045-X080-X001-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,845.0,845.0,0.0,62.0,62.0,62.0,0.0,155.0,155.0,155.0,0.0,183.0,183.0,183.0,Holstein,73.0,1245.0,26187.9,330677.24,231474.07,55614.37,163490.79,412125.15,25970000.0,25970000.0,0.0,0.0,"25762 Turner AVE, Hilmar, CA 95324",37.37417,-120.95493
144,144,144,Rafael Pacheco Dairy,22884 W Ingomar Grade RD,Los Banos,Merced,93635,,,,,(209) 827-6877,01/01/1935,San Joaquin River Basin,X081-X060-X060-XXXX,90.0,0.0,90.0,90.0,88.0,0.0,88.0,88.0,0.0,738.0,738.0,738.0,162.0,0.0,162.0,162.0,198.0,0.0,198.0,198.0,195.0,0.0,195.0,195.0,Holstein,70.0,1471.0,25928.08,323467.01,226426.91,52759.4,141333.81,384739.2,12240000.0,12240000.0,0.0,0.0,"22884 W Ingomar Grade RD, Los Banos, CA 93635",37.09397,-120.90335
149,149,149,Live Oak Dairy,21052 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1950,San Joaquin River Basin,0045-0100-0011-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,425.0,425.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,Jersey,50.0,525.0,11015.93,143363.63,100354.54,23739.85,75806.92,211608.75,10272000.0,10272000.0,0.0,0.0,"21052 Johnson AVE, Hilmar, CA 95324",37.43378,-120.8689
150,150,150,Vander Woude Dairy,1550 W Rahilly RD,Merced,Merced,95341,,,,,(209) 384-1784,01/01/1999,San Joaquin River Basin,X065-X110-X024-XXXX,344.0,0.0,344.0,344.0,142.0,0.0,344.0,142.0,0.0,3166.0,3240.0,3166.0,0.0,415.0,440.0,415.0,1594.0,0.0,1845.0,1594.0,1344.0,0.0,1416.0,1344.0,Holstein,80.0,7005.0,122114.0,1489782.7,1042847.89,247629.12,627118.83,1586140.35,123083000.0,123083000.0,0.0,0.0,"1550 W Rahilly RD, Merced, CA 95341",37.21513,-120.5158
154,154,154,Anchor J Dairy,24507 W First ST,Stevinson,Merced,95374,,,,,(209) 634-4908,03/01/1993,San Joaquin River Basin,"X055-X010-X007-XXXX, X055-X030-X006-XXXX, X055-X030-X015-XXXX, X055-X030-X016-XXXX, X055-X030-X044-XXXX",465.0,0.0,465.0,465.0,637.0,0.0,637.0,637.0,0.0,2600.0,2600.0,2600.0,400.0,0.0,400.0,400.0,830.0,0.0,830.0,830.0,1155.0,0.0,1155.0,1155.0,Holstein,75.0,6087.0,97343.12,1209624.94,846737.46,196787.43,506464.99,1316190.0,21400751.0,40854748.0,19453997.0,0.0,"24507 W First ST, Stevinson, CA 95374",37.34188,-120.93317
155,155,155,Roest Family Dairy,2472 Gates RD,Modesto,Stanislaus,95358,,,,,(209) 648-3930,01/01/1970,San Joaquin River Basin,X012-X025-X013-XXXX,131.0,0.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1025.0,0.0,0.0,0.0,0.0,318.0,0.0,318.0,318.0,268.0,0.0,268.0,268.0,Holstein,71.0,1742.0,32966.25,407642.92,285350.04,68371.01,196970.38,482621.25,7266000.0,7266000.0,0.0,0.0,"2472 Gates RD, Modesto, CA 95358",37.67254,-121.15629
158,158,158,Luis Azevedo Dairy,11412 W Main,Turlock,Stanislaus,95380,,,,,(209) 216-7785,01/01/1930,San Joaquin River Basin,0132-0465-0789-0000,200.0,0.0,300.0,200.0,250.0,0.0,250.0,250.0,0.0,800.0,800.0,800.0,120.0,0.0,120.0,120.0,200.0,0.0,200.0,200.0,300.0,0.0,300.0,300.0,Holstein,65.0,1870.0,28556.46,354511.24,248157.87,56840.56,150579.38,404274.0,27180000.0,27180000.0,0.0,0.0,"11412 W Main, Turlock, CA 95380",37.49275,-120.97682
159,159,159,Double Cross #7 (Formerly Larry B. Peterson Dairy Farms #2),20775 W American AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,01/01/1979,San Joaquin River Basin,X045-X170-X030-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,1.0,208.0,2663.19,37960.0,26572.0,5010.72,1.0,47829.6,2985000.0,2985000.0,0.0,0.0,"20775 W American AVE, Hilmar, CA 95324",37.41109,-120.86414
160,160,160,Pepper Dairy,13942 N Pepper ST,Turlock,Merced,95380,P.O. Box 3639,Turlock,CA,95381,(209) 632-7291,01/01/1970,San Joaquin River Basin,0041-0110-0011-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,5.0,64.02,912.5,638.75,120.45,1.0,1149.75,,0.0,0.0,0.0,"13942 N Pepper ST, Turlock, CA 95380",37.49014,-120.71921
161,161,161,Ulys Dairy,8118 Sikes RD,Dixon,Solano,95620,,,,,(209) 595-1201,01/01/1983,Sacramento River Basin,0111-X110-X070-XXXX,78.0,0.0,78.0,78.0,78.0,0.0,78.0,78.0,0.0,950.0,950.0,950.0,0.0,134.0,134.0,134.0,350.0,0.0,350.0,350.0,210.0,0.0,210.0,210.0,Holstein,76.0,1800.0,33187.74,412928.12,289049.68,68332.53,185678.67,478120.8,30282000.0,30282000.0,0.0,0.0,"8118 Sikes RD, Dixon, CA 95620",38.46334,-121.74431
163,163,163,Teresi Farms (formerly Triple J),7575 N Live Oak RD,Lodi,San Joaquin,95240,,,,,(209) 430-0163,01/01/1940,San Joaquin River Basin,X061-X160-XX22-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,15.0,0.0,15.0,15.0,Holstein,1.0,35.0,347.81,3321.5,2325.05,562.1,1.0,0.0,,0.0,0.0,0.0,"7575 N Live Oak RD, Lodi, CA 95240",38.08182,-121.22273
167,167,167,Live Oak Dairy G,730 Bystrum RD,Turlock,Stanislaus,95380,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1950,San Joaquin River Basin,"0057-0025-0012-0000, X022-X038-X009-XXXX, X045-X030-X018-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1230.0,1200.0,150.0,0.0,150.0,150.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,Jersey,50.0,1450.0,30273.29,402494.08,281745.86,66581.42,214043.07,599512.5,15465000.0,14625000.0,0.0,840000.0,"730 Bystrum RD, Turlock, CA 95380",37.49989,-120.98363
168,168,168,Avis Dairy,4400 Pt. Pleasant RD,Elk Grove,Sacramento,95757,,,,,(209) 603-6107,01/01/1950,Sacramento River Basin,X132-X332-X053-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,Jersey-Holstein Cross,1.0,50.0,481.62,4745.0,3321.5,803.0,1.0,0.0,,0.0,0.0,0.0,"4400 Pt. Pleasant RD, Elk Grove, CA 95757",38.33436,-121.45232
169,169,169,Castelanelli Brothers Dairy,401 W. Armstrong RD,Lodi,San Joaquin,95242,,,,,(209) 747-7727,05/25/1928,San Joaquin River Basin,"X058-X060-XX32-XXXX, X058-X060-XX35-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"401 W. Armstrong RD, Lodi, CA 95242",38.09022,-121.32221
170,170,170,Red Rock Dairy,5020 S Highway 59,Merced,Merced,95340,,,,,(209) 769-2220,12/01/2009,San Joaquin River Basin,X066-X021-X010-XXXX,0.0,475.0,500.0,475.0,0.0,0.0,0.0,0.0,0.0,2719.0,2726.0,2719.0,0.0,291.0,300.0,291.0,0.0,842.0,901.0,842.0,0.0,653.0,688.0,653.0,Holstein,82.0,4980.0,94870.96,1181220.35,826854.25,196321.06,542150.18,1347156.6,172494000.0,172494000.0,0.0,0.0,"5020 S Highway 59, Merced, CA 95340",37.21432,-120.4879
172,172,172,Nelson Dairy,19481 Geer AVE,Hilmar,Merced,95324,,,,,(209) 668-4600,01/01/1948,San Joaquin River Basin,X045-X210-X016-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,0.0,150.0,150.0,150.0,Holstein,1.0,215.0,2102.97,20403.5,14282.45,3452.9,1.0,0.0,660000.0,660000.0,0.0,0.0,"19481 Geer AVE, Hilmar, CA 95324",37.39507,-120.83884
