operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
DS Farms LP,24567 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,01/01/1945,San Joaquin River Basin,"X207-X350-X100-XXXX, X229-X060-X010-XXXX",,,0,0,0,0,0,0,0,0,0,834,834,834,0,0,0,0,0,50,50,50,0,0,0,0,Holstein,75.0,884,,22408.41,290850.7,203595.49,49332.26,162458.39,392688.9,,,,,10620000.0,10620000.0,0.0,0.0,,,,,,,,,,
Frank Chaves and Sons Dairy #1,13080 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 368-1740,01/05/1940,San Joaquin River Basin,X063-X260-XX14-XXXX,,,30,0,30,30,0,0,0,0,0,470,470,470,0,90,90,90,140,0,140,140,150,0,150,150,Holstein,64.0,880,,15909.29,198780.47,139146.33,32823.84,88156.6,241995.0,,,,,3588750.0,3588750.0,0.0,0.0,,,,,,,,,,
Pearson and Coupe LLC,11096 Boessow RD,Galt,Sacramento,95632,,,,,(209) 747-4025,01/01/1950,Sacramento River Basin,0150-0071-0025-0000,,,16,0,16,16,13,0,13,13,0,160,160,160,35,0,35,35,38,0,38,38,38,0,38,38,Holstein,60.0,300,,5246.81,66287.48,46401.24,10801.52,29590.28,83384.25,,,,,,0.0,0.0,0.0,,,,,,,,,,
Live Oak D Dairy,22651 W Williams RD,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 656-8434,01/01/1985,San Joaquin River Basin,"0045-0240-0011-0000, 0045-0240-0029-0000, 0045-0240-0030-0000",,,0,0,0,0,0,0,0,0,0,875,875,875,150,0,150,150,200,0,200,200,0,0,0,0,Jersey,60.0,1225,,25289.03,326386.06,228470.24,54037.34,161821.82,446486.25,,,,,22230000.0,22230000.0,0.0,0.0,,,,,,,,,,
J & J De Raadt Dairy,6460 Smith RD,Oakdale,Stanislaus,95361,,,,,(209) 845-1572,01/01/1960,San Joaquin River Basin,X010-X017-X069-XXXX,,,250,0,250,250,0,0,0,0,0,950,950,950,140,0,140,140,200,0,200,200,400,0,400,400,Other,73.0,1940,,33415.98,418249.31,292774.52,68655.03,183806.22,479500.5,,,,,8745000.0,8745000.0,0.0,0.0,,,,,,,,,,
David Machado (former F&S Brasil Dairy),26230 S Union RD,Manteca,San Joaquin,95337,P.O. Box 1046,Ripon,CA,95366,(209) 581-1713,01/01/1940,San Joaquin River Basin,"X257-XX12-X001-XXXX, X257-XX12-X002-XXXX",,,0,0,0,0,0,0,0,0,0,360,1440,360,0,0,0,0,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,68.0,360,,9149.52,119632.02,83742.41,20236.88,68470.28,169506.0,,,,,23724000.0,13680000.0,0.0,10044000.0,,,,,,,,,,
Antonio Azevedo Dairy #1,2025 W El Nido RD,El Nido,Merced,95317,,,,,(209) 723-3056,01/01/1950,San Joaquin River Basin,X074-X110-X022-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodoni Dairy Farms, LP",18037 S Center AVE,Los Banos,Merced,93635,,,,,(209) 826-2732,01/01/1907,San Joaquin River Basin,"X083-X220-X015-XXXX, X083-X220-X022-XXXX",,,300,0,300,300,0,350,350,350,0,2100,2410,2100,250,0,350,250,1000,0,1000,1000,500,0,500,500,,80.0,4500,,77113.37,957711.87,670398.31,157619.77,415966.38,1046272.5,,,,,50436000.0,50436000.0,0.0,0.0,,,,,,,,,,
,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
R Doornenbal Dairy #3,19325 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 838-7108,01/01/1940,San Joaquin River Basin,X205-X050-XX26-XXXX,,,0,0,0,0,0,0,0,0,0,450,450,450,50,0,50,50,0,0,0,0,0,0,0,0,Holstein,77.0,500,,12645.65,164879.59,115415.71,27643.28,88248.7,223380.0,,,,,2454600.0,604800.0,0.0,1849800.0,,,,,,,,,,
Shaffer Dairy,5968 Eucalyptus Ave.,Winton,Merced,95388,P.O. Box 355,Cressey,CA,95312,(209) 480-2674,01/01/1960,San Joaquin River Basin,X052-X090-X019-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Machado-Kindberg,7706 Tegner RD,Hilmar,Merced,95324,,,,,(209) 652-6929,01/01/1926,San Joaquin River Basin,X045-X200-X005-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,Holstein,1.0,300,,466.46,4758.0,3330.6,805.2,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Fagundes Bros. Dairy #2,14478 Cox Ferry Road,Snelling,Merced,95369,P.O. Box 2717,Merced,CA,95344,(209) 383-6046,01/01/1953,San Joaquin River Basin,"X042-X200-X036-XXXX, X042-X200-X060-XXXX",,,0,0,0,0,0,0,0,0,740,0,740,740,75,0,75,75,0,0,0,0,0,0,0,0,Holstein,61.0,815,,19276.45,251649.27,176154.49,41943.26,137341.21,365675.25,,,,,19680000.0,19680000.0,0.0,0.0,,,,,,,,,,
Cressey River LLC,10986 Livingston Cressey WAY,Livingston,Merced,95334,P.O. Box 2717,Merced,CA,95344,(209) 383-6046,01/01/1972,San Joaquin River Basin,"X140-X060-X040-XXXX, X140-X060-X048-XXXX, X140-X060-X049-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Antonio Belo Dairy,25115 Clark Ave.,Orland,Tehama,95963,,,,,(530) 865-1789,01/26/1985,Sacramento River Basin,0091-0200-0001-0000,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Loek Van Warmerdam Dairy,1616 Cornelius Ave.,Nicolaus,Sutter,95659,,,,,(530) 870-1718,01/01/1950,Sacramento River Basin,XX28-X180-X013-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Live Oak H (Formerly Silveira Dairy Inc.),20271 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1940,San Joaquin River Basin,XX45-X140-XX26-XXXX,,,0,0,0,0,0,0,0,0,0,400,400,400,0,200,200,200,0,0,0,0,0,0,0,0,Jersey,60.0,600,,12349.05,164514.2,115159.94,26400.55,73975.69,234330.0,,,,,26928000.0,26928000.0,0.0,0.0,,,,,,,,,,
5N Cattle,28470 W Cottonwood Rd,Gustine,Merced,95322,,,,,(209) 854-1273,01/01/1990,San Joaquin River Basin,"X063-X250-X033-XXXX, X063-X250-X048-XXXX, X063-X250-X049-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70,65,0,1140,1150,1140,Holstein,1.0,1205,,11264.47,114354.5,80048.15,19352.3,1.0,0.0,,,,,1950000.0,1950000.0,0.0,0.0,,,,,,,,,,
Carlos and Deolinda Lopes Trust,17273 W Cotton Gin RD,Los Banos,Merced,93635,,,,,(209) 704-8163,01/01/1940,San Joaquin River Basin,X088-X180-X053-XXXX,,,145,0,150,145,55,0,60,55,0,578,600,578,0,47,55,47,215,0,220,215,195,0,200,195,Holstein,70.0,1235,,20188.46,251556.2,176089.34,41257.12,110692.33,282958.95,,,,,6337160.0,6337160.0,0.0,0.0,,,,,,,,,,
Van Exel Dairy #2,18948 N Thornton RD,Lodi,San Joaquin,95242,,,,,(209) 334-3290,01/01/1975,San Joaquin River Basin,"X011-X150-XX04-XXXX, X011-X150-XX17-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couco Creek Dairy Inc.,3303 S Washington RD,Turlock,Stanislaus,95380,,,,,(209) 761-9322,06/01/1961,San Joaquin River Basin,"X044-X039-X001-XXXX, X044-X039-X002-XXXX, X044-X040-X041-XXXX",,,0,500,500,500,0,0,0,0,0,3050,3050,3050,0,437,437,437,0,750,750,750,0,1000,1000,1000,Holstein,75.0,5737,,104889.66,1317687.32,922381.12,217914.19,594122.39,1536580.65,,,,,21030000.0,21030000.0,0.0,0.0,,,,,,,,,,
Manuel Mendes Dairy (Golden M),29744 Cottonwood RD,Gustine,Merced,95322,,,,,(209) 854-9108,01/01/1950,San Joaquin River Basin,"X063-X250-X008-XXXX, X063-X250-X030-XXXX",,,0,0,0,0,0,100,120,100,0,600,600,600,0,90,90,90,200,0,200,200,0,0,0,0,Holstein,72.0,990,,19350.7,243584.41,170509.09,40146.72,115693.94,303205.5,,,,,22416000.0,22416000.0,0.0,0.0,,,,,,,,,,
Frank Chaves and Sons #2,12021 E Harney LN,Lodi,San Joaquin,95240,,,,,(209) 368-1740,01/05/1940,San Joaquin River Basin,X063-X250-XX16-XXXX,,,50,0,50,50,0,0,0,0,0,200,200,200,0,0,0,0,20,0,20,20,0,0,0,0,Holstein,51.0,270,,5064.05,65698.07,45988.65,10785.29,35805.25,94170.0,,,,,6171000.0,6171000.0,0.0,0.0,,,,,,,,,,
Cross Creek Dairy,14371 East AVE,Turlock,Merced,95380,P.O. Box 3686,Turlock,CA,95381,(209) 586-0290,01/01/1960,San Joaquin River Basin,,,,75,0,80,75,85,0,90,85,0,585,590,585,70,0,75,70,200,0,205,200,240,0,245,240,Holstein,65.0,1255,,20824.71,254416.06,178091.24,41720.62,110111.17,291543.75,,,,,20120000.0,20120000.0,0.0,0.0,,,,,,,,,,
DeSnayer Dairy,23243 N Rond RD,Lodi,San Joaquin,95242,,,,,(209) 327-6140,01/01/1945,San Joaquin River Basin,X011-X050-XX08-XXXX,,,275,0,275,275,240,0,240,240,0,1580,1580,1580,0,300,300,300,0,300,300,300,300,0,300,300,Holstein,94.0,2995,,57384.96,726093.78,508265.65,119131.87,327498.02,812928.0,,,,,16690000.0,16690000.0,0.0,0.0,,,,,,,,,,
Live Oak Dairy,21052 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1950,San Joaquin River Basin,0045-0100-0011-0000,,,0,0,0,0,0,0,0,0,0,425,425,425,50,0,50,50,50,0,50,50,0,0,0,0,Jersey,50.0,525,,11015.93,143363.63,100354.54,23739.85,75806.92,211608.75,,,,,11616000.0,11616000.0,0.0,0.0,,,,,,,,,,
Edelweiss Dairy,2306 W Fulkerth RD,Crows Landing,Stanislaus,95313,,,,,(209) 537-9883,01/01/1940,San Joaquin River Basin,X022-X004-X007-XXXX,,,240,0,240,240,0,0,0,0,0,1050,1050,1050,140,0,140,140,300,0,300,300,650,0,650,650,Holstein,70.0,2380,,38789.98,480118.1,336082.67,79113.57,201084.69,526585.5,,,,,44100000.0,37548000.0,0.0,6552000.0,,,,,,,,,,
Alfred C. Nunes Dairy,5119 S Morgan RD,Turlock,Stanislaus,95380,,,,,(209) 632-6636,01/01/1976,San Joaquin River Basin,0057-0002-0010-0000,,,0,0,0,0,0,0,0,0,0,900,900,900,110,0,110,110,0,0,0,0,0,0,0,0,Holstein,77.0,1010,,25437.4,331584.19,232108.93,55527.46,176497.4,449059.5,,,,,9780000.0,9780000.0,0.0,0.0,,,,,,,,,,
Silva Brothers,25723 N Elliott RD,Galt,San Joaquin,95632,,,,,(209) 334-2914,01/01/1950,San Joaquin River Basin,X007-X130-XX20-XXXX,,,0,0,0,0,0,0,0,0,0,170,170,170,0,10,10,10,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,64.0,180,,4382.41,57274.47,40092.13,9605.34,31886.43,82344.0,,,,,4612500.0,4612500.0,0.0,0.0,,,,,,,,,,
Fred A Douma Dairy,28524 S Kasson RD,Tracy,San Joaquin,95304,,,,,(209) 904-9327,01/01/1996,San Joaquin River Basin,X241-X380-XX02-XXXX,,,211,0,236,211,0,0,0,0,0,2769,2789,2769,0,409,419,409,218,0,229,218,0,0,0,0,Holstein,75.0,3607,,81650.01,1056024.89,739217.42,175240.46,539385.21,1397833.2,,,,,35390541.0,35390541.0,0.0,0.0,,,,,,,,,,
Tony Morris Dairy,6506 Vivian RD,Modesto,Stanislaus,95358,P.O. Box 580596,Modesto,CA,95358,(209) 000-0000,01/01/1940,San Joaquin River Basin,"X017-X063-X018-XXXX, X022-X003-X001-XXXX",,,400,0,440,400,420,0,420,420,0,1700,1700,1700,0,350,350,350,420,0,550,420,460,0,560,460,Holstein,60.0,3750,,58234.08,733349.35,513344.55,117253.22,314396.69,880927.5,,,,,70290000.0,70290000.0,0.0,0.0,,,,,,,,,,
Ken Van Foeken Dairy #1,22338 Short RD,Hilmar,Merced,95324,,,,,(209) 667-2393,10/01/1983,San Joaquin River Basin,X045-X130-X046-XXXX,,,0,30,30,30,0,38,38,38,0,410,410,410,0,43,43,43,0,43,43,43,0,55,55,55,Jersey,57.0,619,,11690.26,149949.67,104964.77,24630.55,75016.97,202936.35,,,,,12660000.0,12660000.0,0.0,0.0,,,,,,,,,,
BWC Weststeyn Dairy LP,1763 S Hewitt RD,Linden,San Joaquin,95236,,,,,(209) 404-9100,01/01/1977,San Joaquin River Basin,"X183-X300-XX05-XXXX, X183-X300-XX06-XXXX, X183-X300-XX07-XXXX, X183-X300-XX08-XXXX",,,450,0,450,450,580,0,580,580,0,2800,2800,2800,200,200,400,400,1220,0,1220,1220,1000,0,1000,1000,Holstein,80.0,6450,,106567.12,1318340.16,922838.11,215889.1,554621.83,1410360.0,,,,,89444240.0,89444240.0,0.0,0.0,,,,,,,,,,
Tony Lopes Dairy LP,27500 W Bunker RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1972,San Joaquin River Basin,"X070-X010-X012-XXXX, X070-X010-X013-XXXX",,,300,0,360,310,0,300,360,310,0,2175,2400,2175,350,0,350,350,900,0,1000,950,900,0,1000,950,Holstein,72.0,5045,,82104.62,1011993.62,708395.53,165904.99,419390.52,1104581.25,,,,,51840000.0,51840000.0,0.0,0.0,,,,,,,,,,
Gold Medal Ag #1,9483 Columbus AVE,Hilmar,Merced,95324,P.O. Box 1210,Hilmar,CA,95324,(209) 652-4066,01/01/1930,San Joaquin River Basin,"0045-0140-0009-0000, 0045-0140-0048-0000, 0045-0140-0075-0000",,,350,0,350,350,0,0,0,0,0,2100,2200,2100,100,200,300,300,150,0,200,150,0,0,0,0,Jersey,65.0,2900,,59152.58,775056.38,542539.47,127171.65,395270.88,1057770.0,,,,,61282740.0,22933115.0,0.0,38349625.0,,,,,,,,,,
Vitoria Dairy,14018 Crowslanding Road,Crowslanding,Stanislaus,95313,P.O. Box 327,Crows Landing,CA,95313,(209) 652-9489,02/15/1953,San Joaquin River Basin,"X057-X026-X007-XXXX, X057-X026-X011-XXXX",,,180,0,180,180,0,0,0,0,0,1015,1015,1015,0,100,100,100,299,0,299,299,272,0,272,272,Holstein,68.0,1866,,10632.41,117429.32,82200.52,18284.66,19019.52,500907.75,,,,,23800000.0,23800000.0,0.0,0.0,,,,,,,,,,
Haringa Dairy,14842 E Keyes RD,Denair,Stanislaus,95316,P.O. Box 943,Denair,CA,95316,(209) 874-2250,04/15/1992,San Joaquin River Basin,X019-X041-X043-XXXX,,,100,0,100,100,0,0,0,0,0,1627,1642,1627,251,0,292,251,0,0,0,0,0,0,0,0,Holstein,75.0,1978,,46709.54,609063.75,426344.63,101080.73,316930.21,823790.4,,,,,54240000.0,54240000.0,0.0,0.0,,,,,,,,,,
John Silveira Dairy,27890 W Brazo RD,Newman,Merced,95360,P.O. Box 400,Gustine,CA,95322,(209) 587-1796,01/01/1920,San Joaquin River Basin,X054-X060-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N & C Silveira Dairy,6025 Hultberg RD,Turlock,Stanislaus,95380,,,,,(209) 668-2728,01/01/1970,San Joaquin River Basin,X057-X170-X006-XXXX,,,0,28,28,28,0,0,0,0,0,835,835,835,0,27,27,27,0,18,18,18,0,0,0,0,Jersey,60.0,908,,21063.52,275296.14,192707.3,46094.27,154424.25,399368.4,,,,,5440420.0,4714400.0,0.0,726020.0,,,,,,,,,,
Oak Creek Dairy (Formerly Hoogendam Dairy),1650 Mcnamara RD,Merced,Merced,95340,,,,,(209) 626-9953,10/01/2000,San Joaquin River Basin,"X066-X140-X034-XXXX, X066-X150-X007-XXXX",,,0,0,0,0,0,0,0,0,0,2185,2190,2185,0,335,340,335,950,0,1000,950,675,0,700,675,Holstein,86.0,4145,,80902.67,1001800.24,701260.17,168091.01,441416.38,1105840.5,,,,,43696500.0,43696500.0,0.0,0.0,,,,,,,,,,
GM Silva Dairies,20316 Crane AVE,Hilmar,Merced,95324,,,,,(209) 652-6581,01/01/1990,San Joaquin River Basin,"X045-X230-X060-XXXX, X045-X350-X013-XXXX",,,100,0,100,100,230,0,230,230,0,1295,1295,1295,0,165,165,165,45,25,70,70,430,0,430,430,Jersey,69.0,2290,,41046.14,526755.6,368728.92,86359.22,247153.63,647692.5,,,,,24318000.0,16926000.0,0.0,7392000.0,,,,,,,,,,
Meikle Dairy,1685 S Hart RD,Modesto,Stanislaus,95358,,,,,(209) 529-2206,07/01/1950,San Joaquin River Basin,X017-X002-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony & Fatima Garcia Dairy,6455 California AVE,Modesto,Stanislaus,95358,,,,,(123) 000-0000,10/01/1987,San Joaquin River Basin,X012-X053-X004-XXXX,,,200,0,200,200,70,0,70,70,0,630,630,630,150,0,150,150,300,0,300,300,150,0,150,150,Holstein,80.0,1500,,23597.44,304833.56,213383.49,49363.69,124789.91,331128.0,,,,,4929000.0,4929000.0,0.0,0.0,,,,,,,,,,
JDL Dairy,22495 W China Camp RD,Los Banos,Merced,93635,P.O. Box 2253,Los Banos,CA,93635,(209) 481-4424,01/01/1979,San Joaquin River Basin,X070-X160-X037-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Valley Dairy,870 Kniebes RD,Gustine,Merced,95322,,,,,(209) 988-0875,01/01/1948,San Joaquin River Basin,"X054-X130-X020-XXXX, X054-X130-X027-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soares Dairy Farms, Inc. (Pioneer Dairy)",21948 Pioneer RD,Los Banos,Merced,93635,,,,,(209) 826-3414,01/01/1952,San Joaquin River Basin,0083-0030-0063-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gomes Dairy,17265 Swanson RD,Delhi,Merced,95315,,,,,(209) 652-7808,01/01/1960,San Joaquin River Basin,X046-X200-X024-XXXX,,,0,0,0,0,0,0,0,0,0,438,438,438,0,1,1,1,0,152,152,152,0,84,84,84,Holstein,71.0,675,,13636.01,170147.48,119103.24,28806.52,84168.81,206462.25,,,,,2445000.0,2445000.0,0.0,0.0,,,,,,,,,,
Arnaldo P. & Maria E. Avila Dairy,8178 Paradise RD,Modesto,Stanislaus,95358,,,,,(209) 523-0256,01/01/1966,San Joaquin River Basin,X017-X065-X003-XXXX,,,60,0,60,60,0,0,0,0,200,300,500,500,85,0,85,85,150,0,150,150,150,0,150,150,Holstein,72.0,945,,17406.65,216273.01,151391.11,35753.52,96411.61,254970.75,,,,,22572000.0,22572000.0,0.0,0.0,,,,,,,,,,
Dan Perry,1008 N Verduga RD,Turlock,Stanislaus,95380,,,,,(209) 620-3622,01/01/1932,San Joaquin River Basin,X024-X038-X016-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van Groningen & Sons, Inc.",13293 Louise AVE,Manteca,San Joaquin,95336,,,,,(209) 982-5248,01/15/1955,San Joaquin River Basin,X208-X060-XX11-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,50,0,50,50,600,0,600,600,Jersey-Holstein Cross,1.0,670,,6582.23,65335.0,45734.5,10920.8,1.0,4599.0,,,,,1920000.0,1920000.0,0.0,0.0,,,,,,,,,,
Pareira Dairy,2487 W Turlock RD,Snelling,Merced,95369,,,,,(209) 722-5876,01/01/1947,San Joaquin River Basin,"X042-X200-X054-XXXX, X042-X200-X055-XXXX, X042-X200-X057-XXXX, X042-X240-X006-XXXX, X042-X240-X039-XXXX",,,100,0,100,100,100,0,100,100,0,600,600,575,0,100,107,100,180,0,180,180,300,0,300,300,Jersey-Holstein Cross,70.0,1355,,21457.59,266865.56,186805.89,43487.75,110117.81,293733.75,,,,,19682000.0,19682000.0,0.0,0.0,,,,,,,,,,
Meirinho Holsteins Inc,4890 Healy RD,Merced,Merced,95341,P.O. Box 580010,Modesto,CA,95357,(209) 578-1403,01/01/1962,San Joaquin River Basin,X066-X200-X019-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD Silveira & Son Dairy #2,22484 W China Camp RD,Los Banos,Merced,93635,P.O. Box 2350,Los Banos,CA,93635,(209) 826-1817,01/01/1981,San Joaquin River Basin,X070-X170-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Road Dairy,19556 W Charleston RD,Los Banos,Merced,93635,,,,,(209) 678-1472,01/01/1930,San Joaquin River Basin,0088-0100-0063-0000,,,160,0,160,160,180,0,180,180,0,1495,1495,1495,265,0,265,265,300,0,300,300,250,0,250,250,Holstein,65.0,2650,,47880.57,607854.66,425498.26,99219.27,281395.22,764857.5,,,,,25356500.0,24102500.0,0.0,1254000.0,,,,,,,,,,
Broder Farms,22245 August AVE,Hillmar,Merced,95324,P.O. Box 880,Hilmar,CA,95324,(209) 667-7050,01/01/1949,San Joaquin River Basin,X045-X180-X021-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,0.0,8928625.0,8928625.0,0.0,,,,,,,,,,
Dasilva Dairy Farms LLC #3,24197 E Mariposa RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,04/01/1993,San Joaquin River Basin,X207-X180-X005-XXXX,,,0,0,0,0,0,0,0,0,0,425,425,425,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,76.0,425,,11202.98,146449.42,102514.59,24850.05,83066.77,200111.25,,,,,8964000.0,8964000.0,0.0,0.0,,,,,,,,,,
Joe Egli & Sons Dairy,21810 W August AVE,Hilmar,Merced,95324,,,,,(209) 634-9559,06/01/1954,San Joaquin River Basin,"X045-X140-X012-XXXX, X045-X140-X054-XXXX, X045-X170-X002-XXXX, X045-X170-X064-XXXX",,,0,25,25,25,0,57,57,57,0,260,260,43,0,25,25,20,0,59,59,59,0,43,43,43,Holstein,71.0,247,,2746.05,32007.33,22405.13,4869.81,8263.15,24845.55,,,,,5467200.0,12654250.0,7187050.0,0.0,,,,,,,,,,
Gentle Breezes Dairy,4419 S Faith Home RD,Turlock,Stanislaus,95380,,,,,(209) 678-6851,01/01/1974,San Joaquin River Basin,"X058-X031-X003-XXXX, X058-X031-X021-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Shar Dairy,3025 E Sandy Mush RD,Merced,Merced,95340,,,,,(559) 805-7201,01/01/1999,San Joaquin River Basin,"X075-X020-X002-XXXX, X075-X020-X003-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagundes Bros. Dairy #3,2852 Turlock RD,Snelling,Merced,95369,P.O. Box 2717,Merced,CA,95344,(209) 383-6046,01/01/1954,San Joaquin River Basin,"X042-X200-X058-XXXX, X042-X200-X059-XXXX",,,0,0,0,0,0,0,0,0,1063,0,1063,1063,108,0,108,108,0,0,0,0,0,0,0,0,Holstein,63.0,1171,,27945.19,364801.13,255360.79,60857.12,198685.57,525348.15,,,,,45594000.0,45594000.0,0.0,0.0,,,,,,,,,,
Caton Farms,15635 S Steinegul RD,Escalon,San Joaquin,95320,,,,,(209) 456-3266,01/01/1950,San Joaquin River Basin,X229-X090-X050-XXXX,,,100,0,100,100,86,0,86,86,0,475,475,475,100,0,100,100,105,0,105,105,100,0,100,100,Holstein,69.0,966,,16227.9,205785.78,144050.05,33208.86,90654.81,246648.75,,,,,18861270.0,18861270.0,0.0,0.0,,,,,,,,,,
Double L & N Dairy,28471 W Hulen RD,Gustine,Merced,95322,,,,,(209) 564-1053,01/01/1979,San Joaquin River Basin,X070-X060-X025-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarot Farms Inc.,7260 Carpenter RD,Modesto,Stanislaus,95358,,,,,(209) 537-2062,01/01/1962,San Joaquin River Basin,"X022-X003-X010-XXXX, X022-X003-X012-XXXX, X022-X005-X005-XXXX, X022-X005-X011-XXXX, X022-X005-X012-XXXX, X022-X005-X013-XXXX, X022-X005-X015-XXXX, X022-X005-X016-XXXX, X022-X006-X002-XXXX, X022-X006-X009-XXXX, X022-X007-X001-XXXX",,,405,0,405,405,0,0,0,0,0,0,0,0,0,0,0,0,920,0,920,920,755,0,755,755,Other,1.0,2080,,19696.7,179653.0,125757.1,28363.97,1.0,0.0,,,,,44100000.0,44100000.0,0.0,0.0,,,,,,,,,,
